year,week,total_specimens,n_a_2009_h1n1,n_a_h1,n_a_h3,n_a_subtyping_not_performed,n_a_unable_to_subtype,n_b,n_h3n2v,n_b_vic,n_b_yam,n_total_a,n_total_b
1997,40,1291,0,0,0,0,0,0,0,NA,NA,0,0
1997,41,1513,0,0,0,11,0,0,0,NA,NA,11,0
1997,42,1552,0,0,3,13,0,1,0,NA,NA,16,1
1997,43,1669,0,0,0,7,0,0,0,NA,NA,7,0
1997,44,1897,0,0,9,1,0,0,0,NA,NA,10,0
1997,45,2106,0,0,0,6,0,0,0,NA,NA,6,0
1997,46,2204,0,0,3,4,0,1,0,NA,NA,7,1
1997,47,2533,0,0,5,17,0,1,0,NA,NA,22,1
1997,48,2242,0,0,14,22,0,1,0,NA,NA,36,1
1997,49,2607,0,0,11,28,0,1,0,NA,NA,39,1
1997,50,3086,0,0,37,59,0,2,0,NA,NA,96,2
1997,51,3410,0,0,84,159,0,0,0,NA,NA,243,0
1997,52,3349,0,0,111,311,0,0,0,NA,NA,422,0
1997,53,4402,0,1,161,627,0,1,0,NA,NA,789,1
1998,1,5294,0,0,211,808,0,3,0,NA,NA,1019,3
1998,2,5501,0,3,281,863,0,4,0,NA,NA,1147,4
1998,3,6196,0,1,453,1132,0,1,0,NA,NA,1586,1
1998,4,6730,0,0,589,1299,0,1,0,NA,NA,1888,1
1998,5,6288,0,0,413,1266,0,1,0,NA,NA,1679,1
1998,6,5867,0,1,363,1061,0,5,0,NA,NA,1425,5
1998,7,4904,0,0,226,757,0,4,0,NA,NA,983,4
1998,8,3975,0,0,93,469,0,4,0,NA,NA,562,4
1998,9,3169,0,0,63,241,0,3,0,NA,NA,304,3
1998,10,2658,0,0,47,149,0,6,0,NA,NA,196,6
1998,11,2234,0,0,30,86,0,5,0,NA,NA,116,5
1998,12,2048,0,0,12,66,0,6,0,NA,NA,78,6
1998,13,1683,0,0,11,29,0,7,0,NA,NA,40,7
1998,14,1532,0,0,6,22,0,6,0,NA,NA,28,6
1998,15,1357,0,0,0,27,0,12,0,NA,NA,27,12
1998,16,1421,0,0,1,16,0,4,0,NA,NA,17,4
1998,17,1236,0,0,1,9,0,6,0,NA,NA,10,6
1998,18,1142,0,0,3,8,0,5,0,NA,NA,11,5
1998,19,1038,0,0,0,5,0,4,0,NA,NA,5,4
1998,20,938,0,0,0,2,0,7,0,NA,NA,2,7
1998,21,0,0,0,0,0,0,0,0,NA,NA,0,0
1998,22,0,0,0,0,0,0,0,0,NA,NA,0,0
