Diagnostic Test Type ,Surveillance Year,Week ending Code ,Week ending Date,HHS region ,RSV Detections,RSV Tests,Outlier
Antigen,1011,1027,10-Jul-10,1,0,105,0
Antigen,1011,1028,17-Jul-10,1,0,116,0
Antigen,1011,1029,24-Jul-10,1,0,84,0
Antigen,1011,1030,31-Jul-10,1,0,86,0
Antigen,1011,1031,7-Aug-10,1,0,88,0
Antigen,1011,1032,14-Aug-10,1,0,99,0
Antigen,1011,1033,21-Aug-10,1,0,117,0
Antigen,1011,1034,28-Aug-10,1,0,115,0
Antigen,1011,1035,4-Sep-10,1,1,134,0
Antigen,1011,1036,11-Sep-10,1,1,127,0
Antigen,1011,1037,18-Sep-10,1,1,173,0
Antigen,1011,1038,25-Sep-10,1,1,224,0
Antigen,1011,1039,2-Oct-10,1,1,182,0
Antigen,1011,1040,9-Oct-10,1,1,202,0
Antigen,1011,1041,16-Oct-10,1,5,193,0
Antigen,1011,1042,23-Oct-10,1,3,226,0
Antigen,1011,1043,30-Oct-10,1,5,294,0
Antigen,1011,1044,6-Nov-10,1,5,259,0
Antigen,1011,1045,13-Nov-10,1,12,304,0
Antigen,1011,1046,20-Nov-10,1,10,285,0
Antigen,1011,1047,27-Nov-10,1,26,326,0
Antigen,1011,1048,4-Dec-10,1,21,332,0
Antigen,1011,1049,11-Dec-10,1,32,365,0
Antigen,1011,1050,18-Dec-10,1,60,410,0
Antigen,1011,1051,25-Dec-10,1,45,435,0
Antigen,1011,1052,1-Jan-11,1,85,533,0
Antigen,1011,1101,8-Jan-11,1,92,576,0
Antigen,1011,1102,15-Jan-11,1,74,534,0
Antigen,1011,1103,22-Jan-11,1,97,535,0
Antigen,1011,1104,29-Jan-11,1,90,536,0
Antigen,1011,1105,5-Feb-11,1,79,530,0
Antigen,1011,1106,12-Feb-11,1,113,620,0
Antigen,1011,1107,19-Feb-11,1,117,641,0
Antigen,1011,1108,26-Feb-11,1,97,657,0
Antigen,1011,1109,5-Mar-11,1,90,613,0
Antigen,1011,1110,12-Mar-11,1,73,652,0
Antigen,1011,1111,19-Mar-11,1,65,673,0
Antigen,1011,1112,26-Mar-11,1,53,612,0
Antigen,1011,1113,2-Apr-11,1,47,523,0
Antigen,1011,1114,9-Apr-11,1,28,431,0
Antigen,1011,1115,16-Apr-11,1,18,400,0
Antigen,1011,1116,23-Apr-11,1,14,345,0
Antigen,1011,1117,30-Apr-11,1,16,361,0
Antigen,1011,1118,7-May-11,1,14,312,0
Antigen,1011,1119,14-May-11,1,6,284,0
Antigen,1011,1120,21-May-11,1,8,307,0
Antigen,1011,1121,28-May-11,1,6,291,0
Antigen,1011,1122,4-Jun-11,1,3,260,0
Antigen,1011,1123,11-Jun-11,1,0,245,0
Antigen,1011,1124,18-Jun-11,1,1,224,0
Antigen,1011,1125,25-Jun-11,1,3,225,0
Antigen,1011,1126,2-Jul-11,1,2,179,0
Antigen,1011,1027,10-Jul-10,10,0,148,0
Antigen,1011,1028,17-Jul-10,10,2,157,0
Antigen,1011,1029,24-Jul-10,10,0,127,0
Antigen,1011,1030,31-Jul-10,10,1,122,0
Antigen,1011,1031,7-Aug-10,10,0,131,0
Antigen,1011,1032,14-Aug-10,10,0,168,0
Antigen,1011,1033,21-Aug-10,10,1,184,0
Antigen,1011,1034,28-Aug-10,10,1,169,0
Antigen,1011,1035,4-Sep-10,10,0,201,0
Antigen,1011,1036,11-Sep-10,10,0,235,0
Antigen,1011,1037,18-Sep-10,10,0,231,0
Antigen,1011,1038,25-Sep-10,10,0,221,0
Antigen,1011,1039,2-Oct-10,10,2,216,0
Antigen,1011,1040,9-Oct-10,10,2,228,0
Antigen,1011,1041,16-Oct-10,10,6,279,0
Antigen,1011,1042,23-Oct-10,10,5,284,0
Antigen,1011,1043,30-Oct-10,10,1,256,0
Antigen,1011,1044,6-Nov-10,10,8,212,0
Antigen,1011,1045,13-Nov-10,10,7,251,0
Antigen,1011,1046,20-Nov-10,10,16,287,0
Antigen,1011,1047,27-Nov-10,10,9,226,0
Antigen,1011,1048,4-Dec-10,10,14,264,0
Antigen,1011,1049,11-Dec-10,10,24,323,0
Antigen,1011,1050,18-Dec-10,10,37,343,0
Antigen,1011,1051,25-Dec-10,10,61,337,0
