year,week,rsv_week_ending_date,n_rsv,n_rsv_tests,n_influenza_tests,n_a_2009_h1n1,n_a_h1,n_a_h3,n_a_subtyping_not_performed,n_a_unable_to_subtype,n_b,n_h3n2v,n_b_vic,n_b_yam,n_total_a,n_total_b
2010,27,2010-07-10,36,2512,1636,1,0,4,0,0,0,0,NA,NA,5,0
2010,28,2010-07-17,34,2679,1620,2,0,7,0,0,2,0,NA,NA,9,2
2010,29,2010-07-24,61,2491,1606,3,0,2,0,0,3,0,NA,NA,5,3
2010,30,2010-07-31,42,2407,1686,1,0,13,4,0,5,0,NA,NA,18,5
2010,31,2010-08-07,40,2122,1520,4,0,9,2,0,1,0,NA,NA,15,1
2010,32,2010-08-14,58,2840,1676,7,0,10,2,0,10,0,NA,NA,19,10
2010,33,2010-08-21,57,3051,1790,5,0,11,0,0,3,0,NA,NA,16,3
2010,34,2010-08-28,55,3169,1967,10,0,18,6,0,6,0,NA,NA,34,6
2010,35,2010-09-04,68,3683,2212,7,0,14,3,0,4,0,NA,NA,24,4
2010,36,2010-09-11,96,4307,2336,9,0,16,7,0,4,0,NA,NA,32,4
2010,37,2010-09-18,98,4674,2698,5,1,31,7,0,6,0,NA,NA,44,6
2010,38,2010-09-25,143,5247,2960,0,0,30,9,0,9,0,NA,NA,39,9
2010,39,2010-10-02,157,5113,2988,2,0,20,8,0,10,0,NA,NA,30,10
2010,40,2010-10-09,258,5604,3600,7,0,18,29,0,23,0,NA,NA,54,23
2010,41,2010-10-16,294,6163,4006,13,0,36,43,0,36,0,NA,NA,92,36
2010,42,2010-10-23,366,6437,4112,8,0,35,51,0,45,0,NA,NA,94,45
2010,43,2010-10-30,388,6592,4240,13,0,56,45,0,52,0,NA,NA,114,52
2010,44,2010-11-06,526,7236,4608,12,0,61,68,0,106,0,NA,NA,141,106
2010,45,2010-11-13,592,7877,5377,15,0,79,93,0,163,0,NA,NA,187,163
2010,46,2010-11-20,760,8505,5578,23,0,123,104,0,237,0,NA,NA,250,237
2010,47,2010-11-27,983,8344,5533,11,0,155,156,0,265,0,NA,NA,322,265
2010,48,2010-12-04,1075,9220,5975,35,0,176,126,0,260,0,NA,NA,337,260
2010,49,2010-12-11,1350,10145,6361,48,0,359,126,0,310,0,NA,NA,533,310
2010,50,2010-12-18,1787,11690,7692,83,0,551,274,0,542,0,NA,NA,908,542
